question,answer,language,category
"What is the best fertilizer for wheat?","Use NPK fertilizer (Nitrogen, Phosphorus, Potassium) for wheat.",en,fertilizer
"How much water does rice need?","Rice needs a lot of standing water, about 2-5 cm deep.",en,irrigation
"Symptoms of potato blight?","Dark spots on leaves and white fungal growth.",en,disease
"Best time to sow cotton?","Cotton should be sown in April-May.",en,crop
"गेहूँ के लिए सबसे अच्छी खाद कौन सी है?","गेहूँ के लिए एनपीके (NPK) खाद का उपयोग करें।",hi,fertilizer
"चावल को कितना पानी चाहिए?","चावल के खेत में 2-5 सेमी पानी भरा होना चाहिए।",hi,irrigation
"आलू की बीमारी के लक्षण?","पत्तियों पर काले धब्बे और सफेद फफूंद।",hi,disease
"कपास कब बोनी चाहिए?","कपास की बुवाई अप्रैल-मई में करनी चाहिए।",hi,crop
"Weather in Mumbai","It is humid and warm in Mumbai.",en,weather
"मुंबई का मौसम","मुंबई में उमस और गर्मी है।",hi,weather
